80,name,t0,a0,t1,a1,kutai,num,a,,b,,c,
41, BOKA_YANE,20,60,20,60,6,3,14,0,6,0,22,0
42, BOKA_KISO,300,900,300,900,5,3,16,0,5,0,3,0
43, BOKAGLASS,1,1,1,1,2,1,2,0,,,,
44, BOKAGLASS,1,1,1,1,2,1,2,0,,,,
45, BOKA_YUKA,20,60,20,60,5,3,10,0,5,0,16,0
46, BOKA_MAJIKIRI,10,30,10,30,4,3,14,0,4,0,17,0
47,reserved,1,3,1,3,1,1,14,0,,,,
48,BOKA_CHUKU,5,5,5,5,1,1,1,0,,,,
49,BOKA_ELSE,0,0,0,0,0,0,,,,,,
50, MOKU_WALL,15,45,15,45,4,3,14,0,4,0,25,0
51, MOKU_YANE,20,60,20,60,23,3,14,0,6,0,22,0
52, MOKU_KISO,300,900,300,900,5,3,16,0,5,0,3,0
53, NOMALGLASS,1,1,1,1,2,1,2,0,,,,
54, NOMALGLASS,1,1,1,1,2,1,2,0,,,,
55, MOKU_YUKA,15,45,15,45,5,3,14,0,5,0,16,0
56, MOKU_MAJIKIRI,10,30,10,30,4,1,14,0,4,0,17,0
57,MOKU_SOKANKAIKO,1,3,1,3,0,0,,,,,,
58,MOKU_CHUKU,0,0,0,0,0,0,,,,,,
59,MOKU_ELSE,0,0,0,0,0,0,,,,,,
60,JUNTAI_MOKU_WALL,45,135,45,135,7,3,12,0,7,0,27,0
61,JUNTAI_MOKU_YANE,30,90,30,90,9,3,11,0,9,0,22,0
62,JUNTAI_MOKU_KISO,300,900,300,900,8,3,16,0,8,0,15,0
63,NOMALGLASS,20,5,20,5,1,1,1,0,,,,
64,BOKAGLASS,20,5,20,5,1,1,1,0,,,,
65,JUNTAI_MOKU_YUKA,45,135,45,135,8,3,11,0,8,0,16,0
66,JUNTAI_MOKU_MAJIKIRI,30,90,30,90,7,3,11,0,7,0,11,0
67,JUNTAI_MOKU_SOKANKAIKO,20,60,20,60,1,1,12,0,,,,
68,JUNTAI_MOKU_CHUKU,5,5,5,5,1,1,1,0,,,,
69,JUNTAI_MOKU_ELSE,0,0,0,0,0,0,,,,,,
70, BOKA_WALL  ,20,60,30,90,4,3,17,0,4,0,27,0
71, BOKA_YANE,20,60,20,60,6,3,17,0,6,0,28,0
72, BOKA_KISO,300,900,300,900,5,3,16,0,5,0,3,0
73, NOMALGLASS,13,5,20,5,1,1,1,0,,,,
74, BOKAGLASS,13,5,20,5,1,1,1,0,,,,
75, BOKA_YUKA,20,60,20,60,5,3,10,0,5,0,16,0
76, BOKA_MAJIKIRI,10,30,10,30,4,3,17,0,4,0,17,0
77,BOKA_SOKANKAIKO,1,3,1,3,1,1,17,0,,,,
78,BOKA_CHUKU,5,5,5,5,1,1,1,0,,,,
79,BOKA_ELSE,0,0,0,0,0,0,,,,,,
10, TAIKA_WALL,200,600,200,600,3,1,3,0,,,,
11, TAIKA_YANE,200,600,200,600,3,1,3,0,,,,
12, TAIKA_KISO,300,600,300,600,24,2,16,0,3,0,,
13, NOMALGLASS,20,5,20,5,1,1,1,0,,,,
14, BOKAGLASS,20,5,20,5,1,1,1,0,,,,
15, TAIKA_YUKA,300,600,300,600,3,2,3,0,16,0,,
16, TAIKA_MAJIKIRI,30,90,30,90,7,3,11,0,7,0,11,0
17,reserved,0,0,0,0,0,0,,,,,,
18,TAIKA_CHUKU,0,0,0,0,0,0,,,,,,
19,TAIKA_ELSE,0,0,0,0,0,0,,,,,,
20, JUNTAI_WALL,45,135,45,135,7,3,11,0,7,0.3,27,0
21, JUNTAI_YANE,30,90,30,90,9,3,11,0,9,0.3,22,0
22, JUNTAI_KISO,45,135,45,135,8,3,16,0,8,0.3,15,0
23, NOMALGLASS,20,20,20,20,1,1,1,0,,,,
24, BOKAGLASS,20,20,20,20,1,1,1,0,,,,
25, JUNTAI_YUKA,30,90,30,90,8,3,11,0,8,0.3,16,0
26, JUNTAI_MAJIKIRI,30,90,30,90,7,3,11,0,7,0.3,11,0
27,reserved,20,20,20,20,1,1,1,0,,,,
28,JUNTAI_CHUKU,5,5,5,5,1,1,1,0,,,,
29,JUNTAI_ELSE,0,0,0,0,0,0,,,,,,
